start	end	text
0.0	9.0	 Hallo Herr Steffens, ich grüße Sie und ich freue mich, dass Sie bereit sind mit mir ein Interview zu machen zum Thema Trauma und Sucht.
9.0	17.0	 Und ich würde Sie einfach zu Beginn bitten so ein bisschen was von sich zu erzählen.
17.0	25.0	 Sie haben ja eine ziemlich lange Leidensgeschichte, auch hinter sich bis zu dem Zeitpunkt, wo Sie jetzt heute angekommen sind.
25.0	28.0	 Und dann würde ich Ihnen einfach ein paar Fragen stellen.
28.0	31.0	 Sehr gerne, hallo Frau Bitter.
35.0	39.0	 Ja, meine Leidensgeschichte fängt so an. Ich bin eins von acht Kindern,
39.0	45.0	 weil als Kind schon sehr viel durch meine ADS erkannt wurde, die sehr spät diagnostiziert worden ist.
45.0	54.0	 Ich habe meinen Vater gehabt, der alkoholosüchtig war und sehr, sehr gewalttätig in meiner Kindheit war.
54.0	59.0	 Und mein ADS und mein auffälliges Verhalten korrigieren wollte mit Gewalt,
59.0	64.0	 wollte mich halt mit Gewalt körperlich beruhigen, wodurch er mich nur noch nervöser gemacht hatte.
64.0	71.0	 So war meine Kindheit bis zum siebten Lebensjahr, bis zur Trennung meiner Eltern, doch ein ganz, ganz großer Albtraum für mich.
71.0	79.0	 Nach der Trennung meiner Eltern habe ich gedacht, dass mein Leben jetzt vernünftig anfängt und ich mich nicht mehr so falsch fühlen muss,
79.0	85.0	 weil natürlich schwierig ist, neben sieben anderen Kindern, wenn man sehr auffällig ist und anders ist, sich normal zu fühlen.
85.0	89.0	 Es ging dann daher bis zum Suizidgedanken als Kind.
89.0	96.0	 Nach der Trennung der Eltern hat meine Mutter einen Bekannten kennengelernt, der sich als Freund der Familie zu verstehen gegeben hat
96.0	102.0	 und meine Mutter sehr viel Konsum gegen Stellen geschenkt hat und ihr finanziell unter die Arme in den Griffen hat.
102.0	108.0	 Meine Mutter hat gemeint, wir bräuchten eine Vaterfigur und dass das die richtige Anlaufstelle für sie wäre
108.0	114.0	 und es natürlich auch einfacher ist, wenn man mit so vielen Kindern ist, Kinder abzugeben und ein bisschen mehr Ruhe im eigenen Haushalt zu haben.
